City1,City2,Distance (km)
NewYork,LosAngeles,3953.6191703037643
NewYork,Chicago,1155.9499696683818
NewYork,Miami,1756.6870266552935
NewYork,Houston,2286.3118181443833
NewYork,Dallas,2208.3294901322106
NewYork,Philadelphia,127.76757417833505
NewYork,Atlanta,1205.8304488818674
NewYork,Washington,330.6388420879229
NewYork,Boston,297.5369880622289
NewYork,Phoenix,3446.0415568900266
NewYork,Detroit,786.157236605759
NewYork,Seattle,3871.76098719165
NewYork,SanFrancisco,4139.032508372082
NewYork,SanDiego,3905.1927560374675
NewYork,Minneapolis,1642.6907710110395
NewYork,Tampa,1612.3333749161459
NewYork,Denver,2616.0048503338235
NewYork,Riverside,3876.4489876989905
NewYork,LasVegas,3599.906364134119
NewYork,Baltimore,276.28491435257735
NewYork,St.Louis,1413.4452145967746
NewYork,Portland,3930.1192813283133
NewYork,SanAntonio,2550.415713303956
NewYork,Sacramento,4028.4554345690763
NewYork,Austin,2435.8606894189393
NewYork,Orlando,1517.0350440768054
NewYork,SanJose,4107.226068237019
NewYork,Pittsburgh,511.83603289716115
NewYork,Indianapolis,1041.525393116266
NewYork,Manhattan,10.50073523757901
NewYork,Cincinnati,918.1556842242027
NewYork,KansasCity,1764.0932640077056
NewYork,Cleveland,655.5682750882455
NewYork,Columbus,771.6014802021749
NewYork,VirginiaBeach,477.19808402014064
NewYork,Charlotte,858.9269797194642
NewYork,Milwaukee,1190.541742821335
NewYork,Providence,244.1947128044368
NewYork,Jacksonville,1347.5852835471055
NewYork,Nashville,1226.2083469134298
NewYork,SaltLakeCity,3176.6489726311142
NewYork,Raleigh,679.4218773125818
NewYork,Richmond,466.4822016623259
NewYork,Memphis,1535.3891181362158
NewYork,OklahomaCity,2137.507418378523
NewYork,Hartford,158.05478096149275
NewYork,Louisville,1044.4809003960643
NewYork,Buffalo,476.1642313581664
NewYork,NewOrleans,1865.8131636108756
LosAngeles,Chicago,2808.9534347798167
LosAngeles,Miami,3771.545942337673
LosAngeles,Houston,2219.325813800971
LosAngeles,Dallas,2009.233712957045
LosAngeles,Philadelphia,3856.8748091334874
LosAngeles,Atlanta,3120.7232453869997
LosAngeles,Washington,3705.4493070105505
LosAngeles,Boston,4177.974507557718
LosAngeles,Phoenix,586.4665955805397
LosAngeles,Detroit,3191.4339273261194
LosAngeles,Seattle,1537.0745997167148
LosAngeles,SanFrancisco,544.075784595791
LosAngeles,SanDiego,185.8540703303424
LosAngeles,Minneapolis,2455.5544744347217
LosAngeles,Tampa,3474.1564778979246
LosAngeles,Denver,1354.6328514692339
LosAngeles,Riverside,95.2840517251658
LosAngeles,LasVegas,370.16783186156323
LosAngeles,Baltimore,3736.4078188252015
LosAngeles,St.Louis,2560.352570214785
LosAngeles,Portland,1320.3369485250687
LosAngeles,SanAntonio,1945.4908945806408
LosAngeles,Sacramento,565.9835853885538
LosAngeles,Austin,1985.29705961071
LosAngeles,Orlando,3557.760599762421
LosAngeles,SanJose,471.23089406775136
LosAngeles,Pittsburgh,3444.116634800394
LosAngeles,Indianapolis,2918.584676929353
LosAngeles,Manhattan,3949.477454308291
LosAngeles,Cincinnati,3058.091848888205
LosAngeles,KansasCity,2193.368623145057
LosAngeles,Cleveland,3302.5563946919056
LosAngeles,Columbus,3188.6981652431373
LosAngeles,VirginiaBeach,3818.4651528182953
LosAngeles,Charlotte,3418.34633701394
LosAngeles,Milwaukee,2807.7092951705176
LosAngeles,Providence,4154.046406545503
LosAngeles,Jacksonville,3462.2506672883496
LosAngeles,Nashville,2871.7399330100593
LosAngeles,SaltLakeCity,935.2405844383824
LosAngeles,Raleigh,3603.198518661697
LosAngeles,Richmond,3680.897717229903
LosAngeles,Memphis,2596.2801137527294
LosAngeles,OklahomaCity,1910.278462551258
LosAngeles,Hartford,4049.798920961046
LosAngeles,Louisville,2960.310588904202
LosAngeles,Buffalo,3542.3525253216103
LosAngeles,NewOrleans,2711.183065203214
Chicago,Miami,1912.0772786152543
Chicago,Houston,1507.7441250859645
Chicago,Dallas,1285.2815587332561
Chicago,Philadelphia,1073.0697973327144
Chicago,Atlanta,942.3609246862638
Chicago,Washington,960.1559546582303
Chicago,Boston,1369.0240612533803
Chicago,Phoenix,2324.813627799139
Chicago,Detroit,382.9435253259436
Chicago,Seattle,2785.952347520331
Chicago,SanFrancisco,2983.266170500074
Chicago,SanDiego,2771.601661355859
Chicago,Minneapolis,569.104605946555
Chicago,Tampa,1610.899278663555
Chicago,Denver,1462.6276853644467
Chicago,Riverside,2734.943385156883
Chicago,LasVegas,2450.501022665393
Chicago,Baltimore,975.8453327679202
Chicago,St.Louis,416.9662518588719
Chicago,Portland,2818.4872691607407
Chicago,SanAntonio,1685.7114204132868
Chicago,Sacramento,2873.221614022379
Chicago,Austin,1567.2505386872965
Chicago,Orlando,1592.574582192725
Chicago,SanJose,2951.2782302981523
Chicago,Pittsburgh,663.8722847125545
Chicago,Indianapolis,263.2497816976694
Chicago,Manhattan,1150.7087790813996
Chicago,Cincinnati,402.71355595165073
Chicago,KansasCity,654.2578973348687
Chicago,Cleveland,500.48386519411537
Chicago,Columbus,445.3689549052174
Chicago,VirginiaBeach,1150.149254402467
Chicago,Charlotte,947.5296562379953
Chicago,Milwaukee,138.3358480739693
Chicago,Providence,1345.839778131716
Chicago,Jacksonville,1387.762485623476
Chicago,Nashville,634.8258121042893
Chicago,SaltLakeCity,2021.7709088183722
Chicago,Raleigh,1028.260141527343
Chicago,Richmond,995.5174626356537
Chicago,Memphis,773.9950717137293
Chicago,OklahomaCity,1107.704799335717
Chicago,Hartford,1242.0686262824431
Chicago,Louisville,443.56116851043555
Chicago,Buffalo,735.2755370178065
Chicago,NewOrleans,1323.9622829142045
Miami,Houston,1556.6194469677425
Miami,Dallas,1781.8739355962202
Miami,Philadelphia,1650.2841372301687
Miami,Atlanta,975.6213361931189
Miami,Washington,1489.1928726631463
Miami,Boston,2018.655095773939
Miami,Phoenix,3185.0923327022415
Miami,Detroit,1864.5708776172191
Miami,Seattle,4393.02156622859
Miami,SanFrancisco,4168.958144111992
Miami,SanDiego,3644.5892552478676
Miami,Minneapolis,2432.0255268081933
Miami,Tampa,330.9312161256647
Miami,Denver,2765.8898430985246
Miami,Riverside,3677.161782597445
Miami,LasVegas,3514.5530676270623
Miami,Baltimore,1540.4077529836918
Miami,St.Louis,1710.181225980337
Miami,Portland,4349.176425397916
Miami,SanAntonio,1847.89285020736
Miami,Sacramento,4095.15317968701
Miami,Austin,1791.119481144525
Miami,Orlando,319.563996455178
Miami,SanJose,4111.3400455009405
Miami,Pittsburgh,1629.783152668001
Miami,Indianapolis,1650.8837123888798
Miami,Manhattan,1764.6768017129816
Miami,Cincinnati,1538.4391318401315
Miami,KansasCity,1997.67788902306
Miami,Cleveland,1750.1403337313875
Miami,Columbus,1600.0919191548342
Miami,VirginiaBeach,1279.9237770036536
Miami,Charlotte,1049.6100264954218
Miami,Milwaukee,2046.6496400866265
Miami,Providence,1957.0381683600785
Miami,Jacksonville,525.7463216499197
Miami,Nashville,1313.2242331983068
Miami,SaltLakeCity,3360.330335959696
Miami,Raleigh,1127.2585109809029
Miami,Richmond,1331.24817337551
Miami,Memphis,1394.7321631639466
Miami,OklahomaCity,1970.2378495715818
Miami,Hartford,1906.4515647860094
Miami,Louisville,1468.526905618424
Miami,Buffalo,1907.4384635847837
Miami,NewOrleans,1066.4997078533395
Houston,Dallas,359.1345816397345
Houston,Philadelphia,2161.0315447830017
Houston,Atlanta,1126.2190150815022
Houston,Washington,1962.36302923476
Houston,Boston,2577.024835173328
Houston,Phoenix,1633.3610993064908
Houston,Detroit,1779.516500880108
Houston,Seattle,3037.534213054349
Houston,SanFrancisco,2641.919648684653
Houston,SanDiego,2088.5044773346176
Houston,Minneapolis,1697.8656747223888
Houston,Tampa,1275.0919133016848
Houston,Denver,1405.7663925201384
Houston,Riverside,2124.481891479374
Houston,LasVegas,1982.5859055739675
Houston,Baltimore,2012.9458495586
Houston,St.Louis,1091.3134026636985
Houston,Portland,2946.7753863249313
Houston,SanAntonio,305.16581651882706
Houston,Sacramento,2578.914591901564
Houston,Austin,234.59650712472
Houston,Orlando,1371.6796432552444
Houston,SanJose,2580.396832092714
Houston,Pittsburgh,1830.4714672356808
Houston,Indianapolis,1393.4975570552742
Houston,Manhattan,2287.422057954142
Houston,Cincinnati,1439.1760056434268
Houston,KansasCity,1041.1156106798223
Houston,Cleveland,1791.2477423334976
Houston,Columbus,1598.8479316043104
Houston,VirginiaBeach,1952.877917700848
Houston,Charlotte,1490.5168414736536
Houston,Milwaukee,1617.21327275043
Houston,Providence,2529.0964773625324
Houston,Jacksonville,1320.3939090366487
Houston,Nashville,1070.7190330923465
Houston,SaltLakeCity,1930.2726648924372
Houston,Raleigh,1700.2863023291488
Houston,Richmond,1863.7057328989138
Houston,Memphis,780.1926177523803
Houston,OklahomaCity,662.3135814962512
Houston,Hartford,2431.4465067261767
Houston,Louisville,1292.659634835863
Houston,Buffalo,2071.433801676232
Houston,NewOrleans,527.0283070594346
Dallas,Philadelphia,2088.830402227977
Dallas,Atlanta,1151.9250195304521
Dallas,Washington,1900.5289689269923
Dallas,Boston,2486.313039052353
Dallas,Phoenix,1427.269947613718
Dallas,Detroit,1604.5913721282993
Dallas,Seattle,2704.2807658497827
Dallas,SanFrancisco,2387.2584777597185
Dallas,SanDiego,1899.3387280210534
Dallas,Minneapolis,1386.3499694133384
Dallas,Tampa,1472.0544949468651
Dallas,Denver,1061.5024151222447
Dallas,Riverside,1916.6868845680744
Dallas,LasVegas,1734.6220392871344
Dallas,Baltimore,1945.6857038901705
Dallas,St.Louis,876.2517557046045
Dallas,Portland,2625.198991442568
Dallas,SanAntonio,406.3079403682804
Dallas,Sacramento,2313.6156840286976
Dallas,Austin,292.5116107381471
Dallas,Orlando,1550.5061022746017
Dallas,SanJose,2330.2171764291797
Dallas,Pittsburgh,1718.689086707301
Dallas,Indianapolis,1226.9546474756817
Dallas,Manhattan,2207.768751761271
Dallas,Cincinnati,1308.0166010039716
Dallas,KansasCity,731.4539769062708
Dallas,Cleveland,1645.4608889138192
Dallas,Columbus,1467.4924330672543
Dallas,VirginiaBeach,1938.87148083819
Dallas,Charlotte,1491.6977673925019
Dallas,Milwaukee,1376.566476266304
Dallas,Providence,2444.3741931606064
Dallas,Jacksonville,1454.4878080708595
Dallas,Nashville,988.4334434944051
Dallas,SaltLakeCity,1612.4972800292956
Dallas,Raleigh,1695.8756229489768
Dallas,Richmond,1827.1863579285332
Dallas,Memphis,677.8285796162119
Dallas,OklahomaCity,305.18669016345103
Dallas,Hartford,2342.1182732123425
Dallas,Louisville,1169.3934210661926
Dallas,Buffalo,1926.8753244326008
Dallas,NewOrleans,715.8226637541169
Philadelphia,Atlanta,1078.0630351694895
Philadelphia,Washington,202.87413277917253
Philadelphia,Boston,425.2495464744118
Philadelphia,Phoenix,3342.6676666785984
Philadelphia,Detroit,716.7901817463412
Philadelphia,Seattle,3817.92571553202
Philadelphia,SanFrancisco,4054.5117090875856
Philadelphia,SanDiego,3804.4697141476095
Philadelphia,Minneapolis,1581.6115569839726
Philadelphia,Tampa,1494.801341873647
Philadelphia,Denver,2525.94449710783
Philadelphia,Riverside,3778.452084137748
Philadelphia,LasVegas,3505.9038096691124
Philadelphia,Baltimore,148.88276162664454
Philadelphia,St.Louis,1307.1881229239414
Philadelphia,Portland,3869.177468816325
Philadelphia,SanAntonio,2427.055933643018
Philadelphia,Sacramento,3945.418094740586
Philadelphia,Austin,2312.9857641779845
Philadelphia,Orlando,1402.2226687476373
Philadelphia,SanJose,4021.0747633571564
Philadelphia,Pittsburgh,413.86547167335715
Philadelphia,Indianapolis,939.2250827053102
Philadelphia,Manhattan,131.21603082818262
Philadelphia,Cincinnati,808.6424571179358
Philadelphia,KansasCity,1664.291076929729
Philadelphia,Cleveland,575.0358170474633
Philadelphia,Columbus,668.6190121241553
Philadelphia,VirginiaBeach,372.60336006144536
Philadelphia,Charlotte,732.1951710961116
Philadelphia,Milwaukee,1119.6112425256306
Philadelphia,Providence,371.697418252972
Philadelphia,Jacksonville,1228.3145687480362
Philadelphia,Nashville,1104.1007054258791
Philadelphia,SaltLakeCity,3094.4205208269855
Philadelphia,Raleigh,556.9219290050477
Philadelphia,Richmond,342.2427186748192
Philadelphia,Memphis,1414.112432020796
Philadelphia,OklahomaCity,2025.7072799920616
Philadelphia,Hartford,283.9924730062274
Philadelphia,Louisville,929.7014176561588
Philadelphia,Buffalo,446.454013341434
Philadelphia,NewOrleans,1738.132366926796
Atlanta,Washington,875.2019384533988
Atlanta,Boston,1503.232482741148
Atlanta,Phoenix,2552.7568666739285
Atlanta,Detroit,965.4645442475543
Atlanta,Seattle,3502.0390158362175
Atlanta,SanFrancisco,3435.8165571775758
Atlanta,SanDiego,3028.1698013564787
Atlanta,Minneapolis,1457.2060183218748
Atlanta,Tampa,668.5402582352931
Atlanta,Denver,1934.942814369653
Atlanta,Riverside,3031.6768159098333
Atlanta,LasVegas,2811.0028623918024
Atlanta,Baltimore,930.1258325614173
Atlanta,St.Louis,752.4111343010836
Atlanta,Portland,3484.988736473885
Atlanta,SanAntonio,1416.8607757343543
Atlanta,Sacramento,3345.333923927404
Atlanta,Austin,1313.0761484785414
Atlanta,Orlando,656.9043861794912
Atlanta,SanJose,3387.325636761511
Atlanta,Pittsburgh,840.330873188401
Atlanta,Indianapolis,686.1167687500805
Atlanta,Manhattan,1208.950230847219
Atlanta,Cincinnati,598.1090093792254
Atlanta,KansasCity,1083.7112835548207
Atlanta,Cleveland,890.9123519231016
Atlanta,Columbus,703.6775864713053
Atlanta,VirginiaBeach,829.0496544088759
Atlanta,Charlotte,366.30496638174577
Atlanta,Milwaukee,1079.127948270092
Atlanta,Providence,1449.3581486586988
Atlanta,Jacksonville,460.9824296367129
Atlanta,Nashville,343.5821374336668
Atlanta,SaltLakeCity,2543.8703212736054
Atlanta,Raleigh,575.557425043737
Atlanta,Richmond,754.2431495558271
Atlanta,Memphis,529.942586547561
Atlanta,OklahomaCity,1212.001440763721
Atlanta,Hartford,1360.3152066516584
Atlanta,Louisville,501.91930600816266
Atlanta,Buffalo,1125.8279231198153
Atlanta,NewOrleans,662.2825244735122
Washington,Boston,628.0483873352481
Washington,Phoenix,3180.745288995938
Washington,Detroit,642.5999863243666
Washington,Seattle,3737.303409825792
Washington,SanFrancisco,3923.092272200945
Washington,SanDiego,3646.4726702423277
Washington,Minneapolis,1499.9576836024219
Washington,Tampa,1312.8486490905734
Washington,Denver,2388.315523173466
Washington,Riverside,3625.03042951198
Washington,LasVegas,3359.511896379879
Washington,Baltimore,56.43430905883873
Washington,St.Louis,1146.2494238877723
Washington,Portland,3776.8348583586194
Washington,SanAntonio,2231.6545571075676
Washington,Sacramento,3816.6042232772134
Washington,Austin,2118.49221488537
Washington,Orlando,1226.018848735897
Washington,SanJose,3887.0083309543065
Washington,Pittsburgh,305.44490344704195
Washington,Indianapolis,790.7237053967825
Washington,Manhattan,333.8011300085246
Washington,Cincinnati,647.3602985819039
Washington,KansasCity,1513.0553198065463
Washington,Cleveland,488.48566470523093
Washington,Columbus,526.3682648610608
Washington,VirginiaBeach,256.097211478741
Washington,Charlotte,532.3173750073349
Washington,Milwaukee,1027.9117871082105
Washington,Providence,574.446482796272
Washington,Jacksonville,1043.791354876852
Washington,Nashville,912.7245765294176
Washington,SaltLakeCity,2968.545577141628
Washington,Raleigh,370.6154339710225
Washington,Richmond,158.09151419619718
Washington,Memphis,1223.5652189423831
Washington,OklahomaCity,1851.3503371091765
Washington,Hartford,485.7954491948981
Washington,Louisville,755.0081416506677
Washington,Buffalo,470.3468676319917
Washington,NewOrleans,1535.3585863179803
Boston,Phoenix,3686.2903773810476
Boston,Detroit,986.7335409503568
Boston,Seattle,3999.296606079224
Boston,SanFrancisco,4335.321577848365
Boston,SanDiego,4138.634228315405
Boston,Minneapolis,1803.2169499443185
Boston,Tampa,1894.3112132703666
Boston,Denver,2829.4822814100403
Boston,Riverside,4103.782071786952
Boston,LasVegas,3818.8472162760295
Boston,Baltimore,573.2338906923379
Boston,St.Louis,1667.5548752374236
Boston,Portland,4073.575596856736
Boston,SanAntonio,2836.5614492920304
Boston,Sacramento,4221.6517602780905
Boston,Austin,2720.997521700101
Boston,Orlando,1794.694942239303
Boston,SanJose,4307.284041398841
Boston,Pittsburgh,770.2751310766606
Boston,Indianapolis,1292.3331620110312
Boston,Manhattan,294.29052430096
Boston,Cincinnati,1183.2817928042093
Boston,KansasCity,2002.8081136403819
Boston,Cleveland,881.3455348548856
Boston,Columbus,1028.5928221601946
Boston,VirginiaBeach,752.383569284198
Boston,Charlotte,1155.7094040923632
Boston,Milwaukee,1379.9420947396698
Boston,Providence,61.62079540602011
Boston,Jacksonville,1633.0837995433692
Boston,Nashville,1511.6356857887088
Boston,SaltLakeCity,3370.639966845921
Boston,Raleigh,971.7156147418976
Boston,Richmond,761.5126492188309
Boston,Memphis,1818.3740880058667
Boston,OklahomaCity,2399.268307062567
Boston,Hartford,145.58188008380856
Boston,Louisville,1317.4083894928883
Boston,Buffalo,638.4067060673094
Boston,NewOrleans,2162.7062185412306
Phoenix,Detroit,2706.672145910225
Phoenix,Seattle,1781.6518801686416
Phoenix,SanFrancisco,1043.9515466904213
Phoenix,SanDiego,475.4206787849993
Phoenix,Minneapolis,2047.9567918062876
Phoenix,Tampa,2888.506208971249
Phoenix,Denver,941.4796485753928
Phoenix,Riverside,492.1387093137431
Phoenix,LasVegas,414.0167798561783
Phoenix,Baltimore,3215.4164023983253
Phoenix,St.Louis,2036.0436070031258
Phoenix,Portland,1606.1714792573857
Phoenix,SanAntonio,1363.3128483917708
Phoenix,Sacramento,1008.7028245613576
Phoenix,Austin,1399.6135165858987
Phoenix,Orlando,2973.219965018148
Phoenix,SanJose,975.8384257970597
Phoenix,Pittsburgh,2934.214987848293
Phoenix,Indianapolis,2404.6447514614742
Phoenix,Manhattan,3442.728897753141
Phoenix,Cincinnati,2535.7777801379484
Phoenix,KansasCity,1683.8928870154894
Phoenix,Cleveland,2805.1244167105115
Phoenix,Columbus,2675.051137341992
Phoenix,VirginiaBeach,3276.5955270952613
Phoenix,Charlotte,2862.2720619908073
Phoenix,Milwaukee,2342.645930787231
Phoenix,Providence,3657.567583024687
Phoenix,Jacksonville,2881.67542783228
Phoenix,Nashville,2319.900447703933
Phoenix,SaltLakeCity,801.325923425466
Phoenix,Raleigh,3053.011120446015
Phoenix,Richmond,3144.312812289474
Phoenix,Memphis,2034.1719265966622
Phoenix,OklahomaCity,1350.6062485348325
Phoenix,Hartford,3552.602862915192
Phoenix,Louisville,2427.853758117545
Phoenix,Buffalo,3059.2760900006856
Phoenix,NewOrleans,2125.413402088864
Detroit,Seattle,3103.8493978428255
Detroit,SanFrancisco,3356.641945336953
Detroit,SanDiego,3154.5059550641026
Detroit,Minneapolis,865.7109988182434
Detroit,Tampa,1601.0739729475779
Detroit,Denver,1843.0997240038907
Detroit,Riverside,3117.7360587829057
Detroit,LasVegas,2832.1402587946623
Detroit,Baltimore,643.9295373058907
Detroit,St.Louis,733.2559522401955
Detroit,Portland,3152.5036963054213
Detroit,SanAntonio,1991.7745446969404
Detroit,Sacramento,3244.9353670060555
Detroit,Austin,1872.6321482010517
Detroit,Orlando,1554.436397836891
Detroit,SanJose,3326.4230066335917
Detroit,Pittsburgh,338.5939602898463
Detroit,Indianapolis,386.0259862725185
Detroit,Manhattan,780.0056396253171
Detroit,Cincinnati,379.37583878959305
Detroit,KansasCity,1029.4215300872704
Detroit,Cleveland,154.93929925620031
Detroit,Columbus,266.73584455481773
Detroit,VirginiaBeach,871.6642347280232
Detroit,Charlotte,821.6824096734792
Detroit,Milwaukee,404.50110740762716
Detroit,Providence,965.150885776456
Detroit,Jacksonville,1346.0566046039835
Detroit,Nashville,759.7582763767386
Detroit,SaltLakeCity,2392.9911671608984
Detroit,Raleigh,823.5075873266069
Detroit,Richmond,721.6770720368554
Detroit,Memphis,1003.5496948296548
Detroit,OklahomaCity,1461.7350504085182
Detroit,Hartford,862.1404146706485
Detroit,Louisville,516.2105011159193
Detroit,Buffalo,352.63073754653414
Detroit,NewOrleans,1498.693937021798
Seattle,SanFrancisco,1097.0151335722117
Seattle,SanDiego,1701.801054675544
Seattle,Minneapolis,2238.61436552514
Seattle,Tampa,4062.8426724873552
Seattle,Denver,1647.1119547139128
Seattle,Riverside,1576.222799706672
Seattle,LasVegas,1392.989372102014
Seattle,Baltimore,3745.276314086244
Seattle,St.Louis,2764.2911945718474
Seattle,Portland,233.06199937508381
Seattle,SanAntonio,2869.219387597265
Seattle,Sacramento,1009.0700664897321
Seattle,Austin,2844.8415176729977
Seattle,Orlando,4105.528277359173
Seattle,SanJose,1148.179463964041
Seattle,Pittsburgh,3433.0445831123407
Seattle,Indianapolis,3005.7295553570375
Seattle,Manhattan,3864.0415441878804
Seattle,Cincinnati,3163.085505959055
Seattle,KansasCity,2418.7172571822343
Seattle,Cleveland,3253.258103815607
Seattle,Columbus,3231.2882667564922
Seattle,VirginiaBeach,3936.0679630343247
Seattle,Charlotte,3672.529814281093
Seattle,Milwaukee,2709.3991361893413
Seattle,Providence,3999.5552581153056
Seattle,Jacksonville,3943.8152468483295
Seattle,Nashville,3170.1435754927265
Seattle,SaltLakeCity,1123.1546450476396
Seattle,Raleigh,3796.4915494175066
Seattle,Richmond,3781.46638060193
Seattle,Memphis,3007.575295310342
Seattle,OklahomaCity,2450.819359913356
Seattle,Hartford,3908.9702668826435
Seattle,Louisville,3133.0142848073597
Seattle,Buffalo,3397.333683766965
Seattle,NewOrleans,3378.502506818408
SanFrancisco,SanDiego,729.9241423541215
SanFrancisco,Minneapolis,2547.472135618271
SanFrancisco,Tampa,3857.9226701729553
SanFrancisco,Denver,1537.0820824901002
SanFrancisco,Riverside,622.2102301093682
SanFrancisco,LasVegas,659.512492096398
SanFrancisco,Baltimore,3947.2157423691856
SanFrancisco,St.Louis,2801.0986805894477
SanFrancisco,Portland,865.4080284274346
SanFrancisco,SanAntonio,2390.7171437109
SanFrancisco,Sacramento,124.24669534305876
SanFrancisco,Austin,2413.000032012924
SanFrancisco,Orlando,3931.234956865035
SanFrancisco,SanJose,72.97793566569634
SanFrancisco,Pittsburgh,3641.674201539813
SanFrancisco,Indianapolis,3133.586338624589
SanFrancisco,Manhattan,4133.624740826336
SanFrancisco,Cincinnati,3283.333671927404
SanFrancisco,KansasCity,2424.3561057530464
SanFrancisco,Cleveland,3483.7436129887337
SanFrancisco,Columbus,3397.1986987713603
SanFrancisco,VirginiaBeach,4066.036712655793
SanFrancisco,Charlotte,3700.761954423714
SanFrancisco,Milwaukee,2956.4044384285557
SanFrancisco,Providence,4319.075652564457
SanFrancisco,Jacksonville,3814.816385740119
SanFrancisco,Nashville,3154.059958552697
SanFrancisco,SaltLakeCity,964.6952930468568
SanFrancisco,Raleigh,3870.4362918302445
SanFrancisco,Richmond,3920.235557861094
SanFrancisco,Memphis,2905.901040937694
SanFrancisco,OklahomaCity,2233.092629583711
SanFrancisco,Hartford,4217.456240590947
SanFrancisco,Louisville,3204.738634931126
SanFrancisco,Buffalo,3697.656964948348
SanFrancisco,NewOrleans,3102.49836936823
SanDiego,Minneapolis,2451.4949193139273
SanDiego,Tampa,3353.407543921707
SanDiego,Denver,1339.0226095076264
SanDiego,Riverside,125.6478658081078
SanDiego,LasVegas,414.7389786826295
SanDiego,Baltimore,3679.7796720152446
SanDiego,St.Louis,2500.3550295513915
SanDiego,Portland,1490.0304770800974
SanDiego,SanAntonio,1806.536614195089
SanDiego,Sacramento,748.6949222424065
SanDiego,Austin,1853.9095279404319
SanDiego,Orlando,3440.735156868266
SanDiego,SanJose,657.084955288744
SanDiego,Pittsburgh,3393.848240954523
SanDiego,Indianapolis,2865.3060684942866
SanDiego,Manhattan,3901.526044985115
SanDiego,Cincinnati,3000.0011278289176
SanDiego,KansasCity,2141.104951176713
SanDiego,Cleveland,3259.0999101000048
SanDiego,Columbus,3135.9529294690456
SanDiego,VirginiaBeach,3747.980458897812
SanDiego,Charlotte,3336.7248004108214
SanDiego,Milwaukee,2779.7161370621648
SanDiego,Providence,4112.064922121568
SanDiego,Jacksonville,3353.6642190150824
SanDiego,Nashville,2793.321514430748
SanDiego,SaltLakeCity,996.6757150434124
